id,name,slug
8,تهران,tehran-province
27,مازندران,mazandaran
1,آذربایجان شرقی,east-azerbaijan
2,آذربایجان غربی,west-azerbaijan
3,اردبیل,ardabil-province
4,اصفهان,isfahan-province
5,البرز,alborz
6,ایلام,ilam-province
7,بوشهر,bushehr-province
9,چهارمحال و بختیاری,charmahal-bakhtiari
10,خراسان جنوبی,south-khorasan
11,خراسان رضوی,razavi-khorasan
12,خراسان شمالی,north-khorasan
13,خوزستان,khuzestan
14,زنجان,zanjan-province
15,سمنان,semnan-province
16,سیستان و بلوچستان,sistan-baluchestan
17,فارس,fars
18,قزوین,qazvin-province
19,قم,qom-province
20,کردستان,kurdistan
21,کرمان,kerman-province
22,کرمانشاه,kermanshah-province
23,کهگیلویه و بویراحمد,kohgiluyeh-boyerahmad
24,گلستان,golestan
25,لرستان,lorestan
26,گیلان,gilan
28,مرکزی,markazi
29,هرمزگان,hormozgan
30,همدان,hamadan-province
31,یزد,yazd-province
